match_id,season,match_date,match_time,match_year,match_month,iso_weekday,home_team,away_team,home_goals_ft,away_goals_ft,result_ft,home_goals_ht,away_goals_ht,result_ht,total_goals,goal_diff_home,both_teams_scored,over_2_5,clean_sheet_home,clean_sheet_away,home_points,away_points,source_coverage,has_detailed_stats,league_code,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,odds_avg_home_open,odds_avg_draw_open,odds_avg_away_open,odds_avg_over_2_5_open,odds_avg_under_2_5_open,asian_handicap_line_open,odds_avg_asian_home_open,odds_avg_asian_away_open,odds_avg_home_close,odds_avg_draw_close,odds_avg_away_close,odds_avg_over_2_5_close,odds_avg_under_2_5_close,asian_handicap_line_close,odds_avg_asian_home_close,odds_avg_asian_away_close
2008-03-23_real_madrid_valencia,2007-08,2008-03-23,,2008,3,7,Real Madrid,Valencia,2,3,A,1,1,D,5,-1,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-23_santander_recreativo,2007-08,2008-03-23,,2008,3,7,Santander,Recreativo,2,0,H,0,0,D,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-23_zaragoza_almeria,2007-08,2008-03-23,,2008,3,7,Zaragoza,Almeria,1,1,D,0,0,D,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-29_betis_barcelona,2007-08,2008-03-29,,2008,3,6,Betis,Barcelona,3,2,H,0,2,A,5,1,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-29_villarreal_ath_madrid,2007-08,2008-03-29,,2008,3,6,Villarreal,Ath Madrid,3,0,H,2,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_almeria_levante,2007-08,2008-03-30,,2008,3,7,Almeria,Levante,2,1,H,2,0,H,3,1,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_espanol_santander,2007-08,2008-03-30,,2008,3,7,Espanol,Santander,0,3,A,0,2,A,3,-3,False,True,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_getafe_osasuna,2007-08,2008-03-30,,2008,3,7,Getafe,Osasuna,0,2,A,0,1,A,2,-2,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_la_coruna_murcia,2007-08,2008-03-30,,2008,3,7,La Coruna,Murcia,3,1,H,1,1,D,4,2,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_real_madrid_sevilla,2007-08,2008-03-30,,2008,3,7,Real Madrid,Sevilla,3,1,H,2,1,H,4,2,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_recreativo_ath_bilbao,2007-08,2008-03-30,,2008,3,7,Recreativo,Ath Bilbao,1,1,D,1,0,H,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_valencia_mallorca,2007-08,2008-03-30,,2008,3,7,Valencia,Mallorca,0,3,A,0,2,A,3,-3,False,True,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-30_valladolid_zaragoza,2007-08,2008-03-30,,2008,3,7,Valladolid,Zaragoza,2,1,H,0,1,A,3,1,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-05_mallorca_real_madrid,2007-08,2008-04-05,,2008,4,6,Mallorca,Real Madrid,1,1,D,0,1,A,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
